Step,c_myRG2compute_poly1,c_myRG2compute_poly2,c_myRG2compute_poly3,c_myRG2compute_poly4,c_myRG2compute_poly5,c_myRG2compute_poly6,c_myRG2compute_poly7,c_myRG2compute_poly8,c_myRG2compute_poly9,c_myRG2compute_poly10,Temp,PotEng,KinEng,TotEng
920000,2.036745,1.4812086,1.3661973,1.4777,2.4974686,1.7621945,2.2370007,2.2282644,2.1579055,2.4998006,0.95380187,0.45145591,1.4235493,1.8750052
930000,2.0377909,1.6064806,1.3428475,1.7164976,2.4582849,1.6546481,2.6199199,2.0928124,1.9775558,2.540854,0.91512876,0.53637114,1.3658297,1.9022008
940000,2.1102157,1.5833543,1.0649157,1.8409313,2.2596168,1.9044615,2.3624568,2.4258812,1.914639,2.4909737,0.99611248,0.46100758,1.4866979,1.9477055
950000,2.3266247,1.7262147,1.2424148,1.9466874,1.8929378,1.9959455,2.3015999,2.1920222,1.8661782,2.0287678,1.0473516,0.4909032,1.5631722,2.0540754
960000,2.4507711,1.9457189,1.2873846,2.0109473,1.5339487,1.7585873,2.017226,2.1203301,1.8662382,1.9939881,0.97176993,0.43805509,1.4503666,1.8884217
965000,2.3958125,1.9629015,1.1847644,2.1329926,1.5752923,1.5996427,2.2487548,2.0295371,2.0802802,1.7195172,0.9889664,0.50346411,1.4760324,1.9794965
970000,2.4762592,2.1466481,1.3543335,2.1743703,1.4489095,1.4398288,2.4692859,1.7354352,2.1995837,2.0439985,0.98462546,0.42642596,1.4695535,1.8959795
975000,2.4361554,2.1884796,1.3440397,1.9459381,1.5148268,1.430288,2.3809062,1.5376356,2.0704337,2.3630794,1.0486624,0.4602202,1.5651286,2.0253488
980000,2.4947555,1.9593999,1.4014529,1.7944741,1.4548755,1.6601336,2.3904733,1.7205254,2.2230483,2.4749322,1.0480245,0.414674,1.5641766,1.9788506
985000,2.2382235,1.9675348,1.2261949,1.6685257,1.5564264,1.6974456,2.3771113,1.8822538,2.2667366,2.3732157,1.0613113,0.52647451,1.5840071,2.1104816
990000,2.1086579,1.7562241,1.2365946,1.7433059,1.5836612,1.832744,2.2520629,1.8878494,2.3727856,2.4452446,0.97672137,0.48416847,1.4577566,1.9419251
1000000,2.1882804,1.8024915,1.2085094,1.79614,1.2460166,1.619899,1.745977,1.8897946,2.1493376,2.5903362,1.1259529,0.46313492,1.6804847,2.1436196
1010000,2.0013514,1.6525821,1.1793653,1.7625679,1.4550054,1.4736257,1.6943496,1.8946048,1.6241862,2.5545804,0.98065834,0.57882537,1.4636326,2.0424579
1015000,1.8349727,1.68707,1.1241779,1.7968965,1.3519839,1.4105224,1.588582,1.8161366,1.681912,2.5861049,1.0088052,0.44713729,1.5056418,1.9527791
1025000,2.1094471,1.6572733,1.1212716,1.5680751,1.3750032,1.2581316,1.5606994,1.9233518,1.8592478,2.5231403,0.96632473,0.59069953,1.4422397,2.0329392
1030000,2.1528396,1.5551573,1.1263555,1.4422649,1.386097,1.2886268,1.7009225,1.9843362,1.5788518,2.6990685,1.1360686,0.53033431,1.6955825,2.2259168
1040000,2.1964402,1.4937796,1.277431,1.4895158,1.3434964,1.4051514,1.8327457,2.0266733,1.4427531,2.9756331,0.97007733,0.54861741,1.4478404,1.9964578
1050000,2.0081135,1.4767981,1.2313984,1.7599954,1.1957481,1.4393263,1.6375665,1.8869048,1.4727397,2.7776272,0.94666358,0.46060949,1.4128954,1.8735049
1060000,2.0035971,1.4709146,1.3572505,1.9264866,1.5519463,1.7640398,1.6570577,1.4108741,1.3859037,2.6573437,0.9580724,0.38797226,1.4299231,1.8178953
1065000,1.7817904,1.4001191,1.5215642,1.9184453,1.5535995,1.9705867,1.5935436,1.4591495,1.3920838,2.6998415,0.96849873,0.40776624,1.4454844,1.8532506
1075000,1.9482324,1.5256442,1.5339735,1.8539846,1.6205866,1.7913325,1.7611573,1.433119,1.5040801,2.7248144,1.0207075,0.50936937,1.5234059,2.0327753
1085000,1.9069588,1.4824241,1.3296613,1.639958,1.4541733,1.6751599,1.7808086,1.328586,1.6211984,2.7599435,1.0870052,0.4442408,1.6223552,2.066596
1095000,1.9307907,1.3648019,1.4801733,1.5278732,1.3259999,1.9265432,2.1520931,1.2838198,1.6670452,2.3261019,0.94918732,0.49434195,1.4166621,1.911004
1105000,1.8448462,1.6168875,1.4889327,1.5825787,1.4099114,1.7094485,1.9722367,1.3233286,1.677676,2.6960674,0.95493921,0.39765577,1.4252468,1.8229025
1110000,1.6887644,1.3658081,1.6846711,1.8493472,1.3162339,1.7499223,2.0973236,1.3721443,1.798974,2.4107275,0.96015469,0.55470238,1.4330309,1.9877333
1115000,1.8031727,1.468495,1.6586471,1.6917842,1.2100558,1.4940165,1.9679228,1.4721963,1.7377424,2.124066,0.94944043,0.41504654,1.4170398,1.8320864
1125000,1.6525188,1.7009574,1.4950983,1.6377968,1.1700466,1.778248,1.9679541,1.825345,1.9504151,2.0155957,1.0028104,0.46898553,1.4966945,1.9656801
1130000,1.7059566,1.858133,1.5191014,1.5896326,1.2158146,1.6543286,1.8348446,1.872447,2.0141243,2.081633,0.95176144,0.45489814,1.4205039,1.8754021
1135000,1.8798823,1.8439791,1.6627608,1.5063758,1.2142849,1.7429629,1.8759609,1.8434156,1.7198779,1.9342937,1.0403478,0.42357975,1.5527191,1.9762989
1140000,1.697226,1.8634312,1.3369787,1.6208254,1.3320922,1.6599497,1.7170876,1.6755806,1.8462822,2.1942763,0.98192869,0.47991173,1.4655286,1.9454403
1150000,1.471536,1.9788221,1.3769958,1.8670868,1.3034039,1.7859767,1.8390998,1.8123275,1.703134,2.0488147,0.9871571,0.4719206,1.473332,1.9452526
1155000,1.5189217,2.3254293,1.1551926,1.9456887,1.2637496,1.8878134,1.5929217,1.985321,1.6835074,2.1981887,0.94552438,0.44240336,1.4111951,1.8535985
1160000,1.4319962,2.4681733,1.1443338,1.782765,1.3800591,2.2110492,1.4694461,1.8982367,1.6935511,2.3402795,1.0068933,0.48752874,1.5027882,1.9903169
1165000,1.6645744,2.3820685,1.2658014,1.5622716,1.182859,2.1812251,1.4254168,1.8325482,1.7116464,1.9785414,0.95637691,0.41968675,1.4273925,1.8470793
1175000,2.0009222,2.2821771,1.1399979,1.7559951,1.2788025,2.3580812,1.4711941,1.8019727,2.0346023,2.0778355,0.99069617,0.39024889,1.478614,1.8688629
1185000,1.9881143,2.2853392,1.4765866,1.9213741,1.2737127,2.1540166,1.6309893,1.9993598,2.1115474,2.2432518,1.054962,0.47371741,1.5745307,2.0482482
